spcd,band,id,year,month,day,sex,sex_method,age,wing,tarsus,wt,fat,lean,mlos,last_day,depart_night,depart_type,depart_time,array_nights
MAWA,2760-58199,289,2015,5,24,f,mol,SY,58,17.34,8.45,0.77,6.35,3,5/26/2015,5/26/2015,Interrupted,2.458967666,3
BTBW,2740-81148,290,2015,5,24,f,plum,SY,58,17.94,9.26,0.69,7.15,3,5/26/2015,5/26/2015,NA,NA,0
MAWA,2760-58161,291,2015,5,20,f,mol,ASY,58,17.59,8.41,0.93,5.94,4,5/23/2015,5/23/2015,Uninterrupted,1.82555831,1
MAWA,2760-58407,292,2015,5,25,f,mol,SY,54,18.24,7.03,NA,NA,2,5/26/2015,5/26/2015,Uninterrupted,2.606189906,1
MAWA,2760-58162,294,2015,5,20,f,mol,SY,55,17.58,7.86,0.45,6.06,5,5/24/2015,5/24/2015,Uninterrupted,2.441613156,1
MAWA,2760-58405,295,2015,5,25,f,mol,SY,56,17.84,9.24,NA,NA,3,5/27/2015,5/27/2015,LPBOTIP,3.620848382,1
MAWA,2760-58178,296,2015,5,23,f,mol,SY,57,17.88,9.23,0.78,6.94,NA,NA,NA,NA,NA,NA
MAWA,2760-58408,297,2015,5,25,f,mol,SY,56,18.29,8.22,0.16,6.68,4,5/28/2015,5/28/2015,Interrupted,2.179974432,3
MAWA,2760-58180,298,2015,5,24,f,mol,ASY,55,18.01,7.74,0.13,6.22,4,5/27/2015,5/27/2015,LPBOTIP,2.388348542,1
MAWA,2760-58184,299,2015,5,24,f,mol,SY,56,16.94,8.38,1.03,6.01,1,5/24/2015,5/24/2015,Uninterrupted,1.351612836,1
MAWA,2760-58172,300,2015,5,22,f,mol,SY,55,17.23,9.63,1.61,6.71,2,5/23/2015,5/23/2015,Uninterrupted,1.64722511,1
MAWA,2760-58174,301,2015,5,22,f,mol,ASY,59,18.39,9.66,1.4,6.76,2,5/23/2015,5/23/2015,NA,NA,0
MAWA,2760-58406,302,2015,5,25,f,mol,ASY,55,17.6,8.74,1.08,6.26,1,5/25/2015,5/25/2015,Uninterrupted,1.069041372,1
MAWA,2760-58153,303,2015,5,19,f,mol,SY,57,17.18,8.1,0.58,5.86,5,5/23/2015,5/23/2015,Uninterrupted,2.04472511,1
MAWA,2760-58169,304,2015,5,21,f,mol,ASY,55,17.23,8.69,0.77,6.54,5,NA,5/25/2015,Uninterrupted,NA,1
MAWA,2760-58123,397,2015,5,11,f,mol,ASY,56,17.62,8.62,1.02,6.12,1,NA,5/11/2015,NA,NA,0
BTBW,2740-81116,398,2015,5,15,m,plum,ASY,65,18.29,10.51,1.18,7.47,3,5/17/2015,5/17/2015,NA,NA,0
MAWA,2760-58404,399,2015,5,25,f,mol,SY,58,16.96,8.66,NA,NA,1,5/25/2015,5/25/2015,NA,NA,0
BTBW,2740-81111,400,2015,5,11,f,plum,SY,59,18.44,9.18,0.99,6.67,NA,NA,NA,NA,NA,0
MAWA,2760-58152,401,2015,5,19,f,mol,ASY,59,18.14,9.3,1.23,6.47,3,5/21/2015,5/21/2015,NA,NA,0
MAWA,2760-58138,402,2015,5,15,m,mol,ASY,63,17.32,9.59,1.01,7.03,NA,NA,NA,NA,NA,0
BTBW,2740-81115,403,2015,5,15,m,plum,ASY,63,19.42,11.16,NA,NA,3,5/17/2015,5/17/2015,NA,NA,0
MAWA,2760-58179,404,2015,5,24,f,mol,ASY,59,17.77,8.59,0.61,6.44,1,5/24/2015,5/24/2015,NA,NA,0
MAWA,2760-58126,405,2015,5,12,m,mol,SY,59,17.72,8.02,0.53,5.96,6,5/17/2015,5/17/2015,Uninterrupted,0.964075552,1
MAWA,2760-58120,406,2015,5,11,m,mol,SY,58,17.84,7.91,0.37,6.17,7,NA,5/17/2015,PostRelocation,NA,1
BTBW,2740-81113,407,2015,5,15,m,plum,SY,62,17.71,10.08,NA,NA,1,5/15/2015,5/15/2015,Interrupted,NA,3
MAWA,2760-58124,408,2015,5,11,f,mol,ASY,58,17.23,8.11,0.71,5.95,1,5/11/2015,5/11/2015,Interrupted,1.242181508,7
MAWA,2760-58137,409,2015,5,15,f,mol,SY,58,17.69,7.92,0.34,6.17,4,5/18/2015,5/18/2015,Uninterrupted,2.773804856,1
MAWA,2760-58128,410,2015,5,13,f,mol,SY,57,18.17,8.11,0.23,6.39,NA,NA,NA,NA,NA,0
MAWA,2760-58127,411,2015,5,13,f,mol,ASY,57,18.19,8.89,0.93,6.47,3,5/13/2015,5/15/2015,PostRelocation,NA,1
MAWA,2760-58175,412,2015,5,22,f,mol,ASY,58,17.72,8.27,0.65,6.21,3,5/24/2015,5/24/2015,Uninterrupted,0.919113156,1
MAWA,2760-58182,413,2015,5,24,f,mol,ASY,57,18.06,9.18,1.1,6.6,1,5/24/2015,5/24/2015,Interrupted,0.879390756,2
MAWA,2760-58144,NA,2015,5,16,NA,mol,ASY,59,18.04,9.08,0.92,6.6,NA,NA,NA,NA,NA,NA
MAWA,2760-58173,414,2015,5,22,f,mol,ASY,57,17.93,9.52,1.86,6.32,1,5/22/2015,5/22/2015,Interrupted,1.153643301,2
MAWA,2760-58143,415,2015,5,16,f,mol,SY,57,17.63,8.72,1.07,6.23,1,NA,5/16/2015,PostRelocation,NA,1
MAWA,2760-58158,416,2015,5,19,f,mol,SY,56,18.33,7.23,0.28,5.73,6,5/24/2015,5/24/2015,Uninterrupted,NA,1
MAWA,2760-58165,417,2015,5,20,f,mol,SY,57,17.99,8.55,0.77,6.41,4,NA,5/23/2015,PostRelocation,NA,1
BTBW,2740-81114,418,2015,5,15,m,plum,SY,64,18.15,9.82,0.62,7.5,8,5/22/2015,5/22/2015,NA,NA,0
MAWA,2760-58168,419,2015,5,21,f,mol,SY,57,18.04,8.8,0.91,6.3,5,NA,5/25/2015,LPBOTIP,NA,1
MAWA,2760-58163,420,2015,5,20,f,mol,SY,56,18.17,8.34,0.51,6.36,4,5/23/2015,5/23/2015,Interrupted,1.84944719,2
MAWA,2760-58159,421,2015,5,19,f,mol,SY,55,17.41,9.22,1.33,6.58,10,5/28/2015,5/28/2015,Uninterrupted,1.187474592,1
MAWA,2760-58419,59.1,2015,5,26,f,mol,ASY,57,17.54,8.1,0.51,6.14,3,NA,5/28/2015,Uninterrupted,0.769973712,1
BTBW,2740-81101,NA,2015,5,4,m,plum,ASY,64,17.4,9.83,1.2,6.98,NA,NA,NA,NA,NA,NA
MAWA,2760-58167,NA,2015,5,21,NA,mol,SY,57,17.48,8.1,NA,NA,NA,NA,NA,NA,NA,NA
